user_id,category_id
1,1
1,2
1,3
1,4
1,5
2,2
2,3
2,4
2,5
3,1
3,2
3,3
3,4
3,5
4,2
4,3
4,4
4,5
5,4
6,1
6,2
6,3
6,4
7,1
7,3
7,5
8,2
8,4
8,5
9,1
9,2
9,3
9,4
9,5
10,1
10,2
10,5
11,4
12,1
12,2
12,4
12,5
13,2
14,2
14,3
15,1
15,2
15,3
15,4
15,5
16,2
17,3
17,4
17,5
18,1
18,2
19,2
19,4
19,5
20,1
20,2
20,3
20,4
21,5
22,1
22,2
22,3
22,4
23,5
24,1
24,2
24,3
24,4
24,5
25,1
25,4
26,2
26,3
26,4
27,1
27,2
27,3
27,4
27,5
28,2
29,3
29,4
30,1
30,2
30,3
30,4
30,5
31,1
32,1
33,2
34,2
34,4
35,1
35,2
35,3
35,4
35,5
36,3
36,4
37,3
38,1
38,2
38,4
38,5
39,1
39,3
39,4
39,5
40,1
40,3
40,4
40,5
41,1
41,3
41,5
42,3
43,3
44,1
44,2
44,4
44,5
45,2
45,3
45,4
45,5
46,1
46,2
46,3
46,4
46,5
47,1
47,2
47,3
47,4
47,5
48,1
48,2
48,5
49,3
49,5
50,2
50,3
51,1
51,3
51,4
51,5
52,1
52,2
52,3
52,4
52,5
53,1
53,3
53,4
53,5
54,1
54,3
54,5
55,2
55,3
55,4
55,5
56,1
56,2
56,3
57,2
57,5
58,1
58,3
58,4
59,2
60,1
60,3
60,4
61,1
61,3
61,4
61,5
62,4
63,1
64,1
64,2
64,3
64,5
65,1
65,2
65,3
65,4
65,5
66,1
66,2
66,3
66,4
66,5
67,2
67,5
68,1
68,2
68,3
69,1
69,2
69,3
69,4
70,1
70,2
70,3
70,4
70,5
71,3
71,5
72,1
72,3
72,4
73,1
73,2
73,3
73,4
73,5
74,3
74,4
74,5
75,1
75,2
75,5
76,1
76,3
76,4
77,3
77,5
78,3
78,4
79,1
79,2
79,3
79,4
79,5
80,4
81,3
81,4
81,5
82,1
82,2
82,3
82,5
83,2
83,4
84,1
84,2
84,3
84,4
84,5
85,1
85,2
86,1
87,2
87,3
87,4
87,5
88,4
89,4
89,5
90,1
90,2
90,3
90,4
90,5
91,4
91,5
92,2
92,3
92,4
93,2
93,3
93,4
94,1
94,2
94,3
94,4
94,5
95,2
95,4
96,1
97,1
97,2
97,3
97,4
97,5
98,1
98,2
99,1
99,2
99,3
99,5
100,1
100,2
